 482.9
 480.7
 487
 480.4
 480.1
 486.6
 483.5
 481.4
 480.2
, 485.6
, 485.8
, 485.2
, 484.4
, 482
, 482.7
, 477.9
, 480.8
, 480.1
, 481.9
, 482.6
, 484.2
, 481.4
, 480.7
, 482.2
, 486
, 478.4
, 479
, 480.1
, 476.1
, 475.6
, 478.9
, 477.3
, 473.8
, 478.3
, 477.7
, 511.7
, 556.6
, 756.3
, 1044.8
, 1603.3
, 2213.5
, 2959.6
, 3460.8
, 3737.7
, 3902
, 3902.2
, 3972.9
, 3930.3
, 3980.9
, 3940.4
, 3939.2
, 3924.9
, 3932
, 3970.3
, 3935.5
, 3950.1
, 3956.8
, 3962.3
, 4016.6
, 3966.5
, 3977.3
, 3977.5
, 3974.8
, 3979.6
, 3949
, 3961.6
, 3992
, 3977.4
, 3966.5
, 3914.1
, 3958.7
, 3940
, 3903
, 3817.6
, 3669.4
, 3340.8
, 2719.9
, 2030.3
, 1438.5
, 912.7
, 661.1
, 556.3
, 531.9
, 481.4
, 497.3
, 490.8
, 473.5
, 478.4
, 483.1
, 483.3
, 488.6
, 484.6
, 480
, 486.8
, 481.6
, 478.1
, 482
, 483.9
, 480.4
0, 483.9
1, 482.9
2, 483.4
3, 484.3
4, 486.6
5, 486.2
6, 482
7, 484.3
8, 485.4
